                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9749,                 4.5416,                 1.9886,                      0,                      0,                      0,                      0,                 1.2627,                  4.433,                 1.3986,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                 1.4532,                  4.277,                 1.6037,                0.01904,                0.35913,                0.02031,                0.00771,                 1.5956,                 4.1727,                 1.6631,             0.00018757,             0.00018757,             0.00018757
                      3,                 1.3662,                 3.9604,                  1.516,                0.37679,                0.10536,                0.03008,                0.01042,                 1.6585,                 3.5778,                 1.6773,             0.00028215,             0.00028215,             0.00028215
                      4,                 1.3578,                 3.7277,                 1.5367,                 0.1872,                0.25259,                0.03808,                0.01533,                 1.9043,                 3.4714,                 1.7859,              0.0002843,              0.0002843,              0.0002843
                      5,                 1.3815,                 3.6089,                 1.5649,                0.21065,                0.15938,                0.04921,                0.02261,                 1.6163,                 3.0913,                 1.6358,             0.00028373,             0.00028373,             0.00028373
                      6,                 1.3485,                 3.5393,                 1.5366,                0.20846,                0.15568,                0.05732,                0.02509,                 1.7373,                 3.0276,                 1.7035,             0.00028317,             0.00028317,             0.00028317
                      7,                  1.296,                 3.4155,                 1.4978,                0.21226,                 0.1692,                0.06669,                0.03313,                 1.5556,                 2.8828,                 1.5528,              0.0002826,              0.0002826,              0.0002826
                      8,                 1.3046,                 3.3734,                 1.5139,                0.23151,                0.12677,                0.07211,                0.03817,                 1.5952,                 2.8776,                 1.5541,             0.00028204,             0.00028204,             0.00028204
                      9,                  1.278,                 3.3064,                 1.4722,                0.22929,                 0.1453,                0.07164,                0.03731,                  1.451,                 2.8398,                  1.434,             0.00028147,             0.00028147,             0.00028147
                     10,                 1.2569,                 3.2489,                  1.485,                 0.2353,                0.17083,                0.10685,                0.06115,                 1.4497,                 2.7175,                 1.4582,              0.0002809,              0.0002809,              0.0002809
                     11,                  1.258,                 3.2285,                 1.4648,                0.16383,                 0.1939,                0.11388,                0.07305,                 1.1738,                  2.673,                 1.2929,             0.00028034,             0.00028034,             0.00028034
                     12,                 1.2226,                  3.161,                 1.4556,                0.21738,                0.18513,                 0.1342,                0.07629,                 1.5165,                  2.678,                 1.4474,             0.00027977,             0.00027977,             0.00027977
                     13,                 1.2451,                 3.1181,                 1.4494,                 0.2316,                0.21105,                0.13132,                0.08812,                  1.221,                 2.5472,                 1.2523,              0.0002792,              0.0002792,              0.0002792
                     14,                 1.2296,                 3.1346,                 1.4493,                0.24783,                0.25389,                 0.1638,                0.11564,                 1.1141,                 2.4361,                 1.2154,             0.00027864,             0.00027864,             0.00027864
                     15,                 1.2178,                 3.0525,                  1.447,                0.26562,                0.24447,                0.18591,                 0.1223,                 1.2409,                 2.4437,                 1.2975,             0.00027807,             0.00027807,             0.00027807
                     16,                 1.1678,                 3.0156,                 1.4138,                0.26435,                0.27656,                0.21199,                0.12857,                 1.3804,                  2.457,                 1.3889,             0.00027751,             0.00027751,             0.00027751
                     17,                 1.2201,                 2.9604,                 1.4386,                0.26538,                0.27886,                0.21172,                0.14406,                 1.0735,                 2.3899,                 1.2031,             0.00027694,             0.00027694,             0.00027694
                     18,                 1.2015,                 2.9526,                 1.4252,                0.28077,                0.31322,                0.22183,                0.13718,                 1.2392,                 2.4075,                 1.3158,             0.00027637,             0.00027637,             0.00027637
                     19,                  1.196,                 2.8676,                 1.4131,                0.38591,                0.31288,                0.26568,                0.16339,                 1.3452,                 2.2919,                 1.3354,             0.00027581,             0.00027581,             0.00027581
                     20,                 1.1853,                  2.846,                 1.4262,                0.33396,                 0.3408,                0.25573,                0.16243,                 1.3202,                 2.2434,                 1.3109,             0.00027524,             0.00027524,             0.00027524
                     21,                 1.2034,                 2.8556,                 1.4265,                0.39941,                0.32427,                 0.2872,                 0.1872,                 1.1848,                 2.1986,                 1.2448,             0.00027467,             0.00027467,             0.00027467
                     22,                 1.1821,                 2.7882,                 1.4059,                0.36934,                0.29272,                0.27246,                0.19578,                 1.0067,                 2.1879,                 1.1606,             0.00027411,             0.00027411,             0.00027411
                     23,                 1.1471,                 2.7249,                 1.3821,                0.36665,                0.38441,                0.33868,                0.23123,                 1.1389,                 2.0853,                 1.2223,             0.00027354,             0.00027354,             0.00027354
                     24,                 1.1869,                 2.7734,                 1.4111,                0.38469,                0.41414,                0.36601,                0.23136,                 1.3144,                 2.0701,                 1.3312,             0.00027298,             0.00027298,             0.00027298
