                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0659,                 4.3648,                 1.1552,                      0,                      0,                      0,                      0,                0.76761,                 4.0741,                 0.9394,             8.6053e-05,             8.6053e-05,             8.6053e-05
                      2,                0.98221,                 3.9143,                 1.1059,                0.02137,                0.61185,                0.04871,                0.04136,                0.82412,                 3.5176,                0.97931,             0.00016887,             0.00016887,             0.00016887
                      3,                 1.0065,                 3.6223,                 1.1147,                0.41033,                0.10852,                0.09499,                0.08002,                0.83934,                  3.092,                  0.997,             0.00024584,             0.00024584,             0.00024584
                      4,                 1.0489,                 3.3748,                 1.1561,                0.24613,                0.18965,                0.11516,                0.09659,                0.81937,                 2.7673,                 1.0108,             0.00025767,             0.00025767,             0.00025767
                      5,                 1.0029,                 3.2076,                 1.1422,                0.30151,                0.22197,                0.18472,                0.15561,                 0.8128,                  2.482,                 1.0089,             0.00024822,             0.00024822,             0.00024822
                      6,                  1.019,                 3.0944,                 1.1428,                0.32576,                0.26713,                0.22996,                 0.1943,                 0.7909,                 2.3208,                  1.013,             0.00023878,             0.00023878,             0.00023878
                      7,                0.97359,                   2.92,                 1.1151,                0.34235,                0.32432,                0.29035,                0.24404,                0.78408,                 2.2139,                0.99694,             0.00022934,             0.00022934,             0.00022934
                      8,                0.98984,                  2.783,                 1.1346,                0.40674,                0.34115,                0.33336,                0.28056,                0.77148,                  2.106,                0.98749,             0.00021989,             0.00021989,             0.00021989
                      9,                 0.9558,                 2.6948,                 1.1025,                0.45601,                 0.3681,                0.39018,                0.33061,                0.76596,                 1.9533,                0.98917,             0.00021045,             0.00021045,             0.00021045
                     10,                0.97609,                 2.5815,                 1.1267,                0.53152,                0.39839,                0.42155,                0.35457,                0.76106,                 1.9417,                0.98395,             0.00020101,             0.00020101,             0.00020101
                     11,                0.96589,                 2.5581,                 1.1071,                0.54539,                0.41986,                0.46617,                0.39629,                0.75089,                 1.7978,                0.98395,             0.00019156,             0.00019156,             0.00019156
                     12,                0.93034,                 2.4282,                 1.0849,                0.56069,                0.44979,                0.50918,                0.43655,                0.72733,                 1.7115,                0.96935,             0.00018212,             0.00018212,             0.00018212
                     13,                0.92715,                 2.3579,                  1.082,                0.63624,                0.43177,                0.51473,                0.44131,                0.73888,                 1.7187,                 0.9764,             0.00017267,             0.00017267,             0.00017267
                     14,                0.92442,                   2.33,                 1.1008,                0.57187,                 0.5068,                0.56735,                0.48514,                0.73649,                 1.5305,                0.97632,             0.00016323,             0.00016323,             0.00016323
                     15,                0.90887,                 2.2129,                 1.0826,                0.59742,                0.55683,                0.60426,                0.51876,                0.72027,                 1.4703,                0.96466,             0.00015379,             0.00015379,             0.00015379
                     16,                0.87401,                 2.1634,                  1.085,                0.62151,                0.60019,                 0.6267,                0.53697,                0.71063,                 1.3994,                0.96931,             0.00014434,             0.00014434,             0.00014434
                     17,                0.89933,                 2.1258,                 1.0769,                0.67381,                0.58414,                0.65631,                0.56812,                0.70649,                  1.353,                0.95164,              0.0001349,              0.0001349,              0.0001349
                     18,                 0.9094,                 2.0944,                 1.0768,                 0.6539,                0.61328,                0.66393,                0.57157,                 0.7092,                 1.3115,                0.95845,             0.00012546,             0.00012546,             0.00012546
                     19,                0.87899,                 2.0256,                 1.0608,                0.71028,                0.63904,                0.70549,                0.61085,                0.69508,                 1.2706,                0.95409,             0.00011601,             0.00011601,             0.00011601
