                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96689,                 4.3678,                 1.1532,                      0,                      0,                      0,                      0,                0.69226,                 4.0841,                0.94287,             8.6821e-05,             8.6821e-05,             8.6821e-05
                      2,                0.88928,                 3.9037,                  1.104,                0.01968,                0.64488,                0.04812,                0.04036,                0.75474,                  3.456,                0.97606,             0.00017038,             0.00017038,             0.00017038
                      3,                0.92048,                 3.5989,                 1.1197,                0.38022,                0.11035,                 0.0924,                0.07613,                 0.7773,                 3.0762,                 1.0167,             0.00024803,             0.00024803,             0.00024803
                      4,                0.95631,                 3.3562,                 1.1576,                0.26157,                0.20647,                0.12615,                0.10504,                0.74524,                 2.7353,                 1.0089,             0.00025767,             0.00025767,             0.00025767
                      5,                0.92078,                 3.1594,                 1.1394,                0.29816,                 0.2208,                0.19479,                 0.1621,                0.72169,                  2.537,                0.99975,             0.00024822,             0.00024822,             0.00024822
                      6,                0.92337,                 3.0569,                 1.1401,                0.37369,                0.26681,                 0.2531,                0.21277,                0.72396,                 2.2928,                  1.009,             0.00023878,             0.00023878,             0.00023878
                      7,                0.88256,                 2.8719,                 1.1106,                0.36257,                0.35913,                0.32669,                 0.2758,                0.72866,                 2.1411,                 1.0041,             0.00022934,             0.00022934,             0.00022934
                      8,                0.89549,                  2.727,                  1.127,                0.44602,                0.38227,                0.37751,                0.31513,                 0.7202,                 2.0462,                 1.0043,             0.00021989,             0.00021989,             0.00021989
                      9,                   0.87,                   2.65,                 1.0999,                0.55006,                0.39284,                0.43779,                0.37042,                0.69168,                 1.9303,                0.98443,             0.00021045,             0.00021045,             0.00021045
                     10,                0.88186,                 2.5076,                 1.1166,                0.53144,                0.44269,                  0.476,                0.40271,                0.68738,                 1.8059,                  0.983,             0.00020101,             0.00020101,             0.00020101
                     11,                0.88177,                 2.4909,                 1.1119,                 0.6033,                0.45726,                0.51728,                0.43903,                0.67704,                 1.7276,                0.98005,             0.00019156,             0.00019156,             0.00019156
                     12,                0.84407,                 2.3539,                 1.0832,                0.59783,                0.51805,                0.55851,                0.47624,                0.66798,                 1.6366,                0.97538,             0.00018212,             0.00018212,             0.00018212
                     13,                0.83271,                 2.3089,                 1.0792,                0.59445,                0.52763,                0.57634,                0.49521,                0.65991,                 1.5735,                0.97736,             0.00017267,             0.00017267,             0.00017267
                     14,                0.84201,                 2.2792,                 1.1066,                0.60999,                0.57028,                0.61255,                0.52395,                0.66359,                 1.4738,                0.96982,             0.00016323,             0.00016323,             0.00016323
                     15,                0.82343,                  2.179,                 1.0794,                0.64409,                 0.5982,                0.63766,                0.54636,                0.65557,                 1.4414,                0.96415,             0.00015379,             0.00015379,             0.00015379
                     16,                0.79687,                 2.1079,                 1.0853,                0.75102,                0.58328,                0.66545,                0.56763,                0.64911,                 1.3679,                0.97257,             0.00014434,             0.00014434,             0.00014434
                     17,                0.82881,                 2.1005,                 1.0873,                 0.6667,                0.63891,                0.67838,                0.58418,                0.64206,                 1.3054,                0.96234,              0.0001349,              0.0001349,              0.0001349
                     18,                0.81986,                 2.0449,                 1.0738,                0.74481,                0.63457,                0.70518,                0.60463,                0.64295,                 1.2807,                0.96238,             0.00012546,             0.00012546,             0.00012546
