                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96652,                 4.4292,                 1.1485,                      0,                      0,                      0,                      0,                0.69749,                 4.1415,                0.94604,             8.3111e-05,             8.3111e-05,             8.3111e-05
                      2,                0.90953,                 3.9471,                 1.1177,                0.02069,                0.64662,                0.04826,                 0.0409,                0.73433,                 3.5427,                0.96371,              0.0001631,              0.0001631,              0.0001631
                      3,                 0.9432,                 3.6282,                 1.1341,                0.33332,                0.09275,                0.08343,                0.06934,                0.77949,                 3.1383,                 1.0103,             0.00023744,             0.00023744,             0.00023744
                      4,                0.95164,                 3.4135,                 1.1516,                0.21715,                 0.2062,                0.13085,                0.11028,                0.75327,                 2.7542,                 1.0129,             0.00025769,             0.00025769,             0.00025769
                      5,                0.90375,                 3.2083,                 1.1365,                0.25323,                0.25989,                0.18714,                0.15781,                0.72675,                 2.4947,                 1.0136,             0.00024825,             0.00024825,             0.00024825
                      6,                0.89334,                 3.0723,                 1.1347,                 0.3085,                0.27011,                0.23174,                0.19041,                0.73074,                  2.496,                 1.0111,             0.00023881,             0.00023881,             0.00023881
                      7,                0.89654,                 2.9234,                 1.1146,                0.41863,                0.31079,                 0.3157,                0.26344,                0.72387,                 2.2045,                 1.0111,             0.00022937,             0.00022937,             0.00022937
                      8,                0.93692,                 2.8703,                 1.1496,                0.43684,                0.33677,                0.34637,                0.28623,                0.72026,                 2.1928,                 1.0026,             0.00021993,             0.00021993,             0.00021993
                      9,                0.88726,                 2.7219,                 1.1042,                0.44189,                0.43005,                0.41365,                0.34619,                0.70135,                 1.9471,                0.99839,             0.00021049,             0.00021049,             0.00021049
                     10,                0.86925,                 2.6324,                 1.1096,                0.52376,                0.40345,                0.45969,                0.39075,                0.68992,                 1.8334,                0.99191,             0.00020106,             0.00020106,             0.00020106
                     11,                0.89628,                 2.5436,                 1.1069,                0.44431,                 0.4972,                0.51124,                0.43592,                0.67811,                 1.7927,                 1.0021,             0.00019162,             0.00019162,             0.00019162
                     12,                0.88003,                  2.518,                 1.1259,                0.49747,                0.53521,                0.51557,                0.43801,                0.68069,                 1.7372,                0.99572,             0.00018218,             0.00018218,             0.00018218
                     13,                0.84402,                 2.3473,                 1.0891,                0.63092,                 0.4932,                0.57903,                 0.4976,                 0.6683,                  1.599,                0.98725,             0.00017274,             0.00017274,             0.00017274
                     14,                0.82622,                 2.2858,                 1.0718,                0.62284,                0.57196,                0.61176,                0.51897,                0.67332,                 1.5298,                0.99515,              0.0001633,              0.0001633,              0.0001633
                     15,                0.81621,                 2.2661,                  1.075,                0.64354,                0.58755,                0.63136,                0.54107,                0.66199,                 1.4985,                0.97853,             0.00015386,             0.00015386,             0.00015386
                     16,                0.81111,                 2.1572,                 1.0742,                0.65122,                0.59874,                0.64085,                0.55066,                 0.6564,                 1.4299,                 0.9778,             0.00014443,             0.00014443,             0.00014443
                     17,                0.82323,                 2.1249,                 1.0654,                 0.6801,                0.63083,                0.67203,                0.57513,                0.66157,                 1.3545,                0.99225,             0.00013499,             0.00013499,             0.00013499
                     18,                0.79221,                 1.9959,                 1.0631,                0.74995,                0.63829,                0.71385,                0.61343,                0.65379,                 1.3024,                 0.9808,             0.00012555,             0.00012555,             0.00012555
                     19,                 0.7941,                 2.0483,                 1.0637,                0.76599,                0.65545,                0.72493,                0.62748,                0.64245,                 1.2405,                0.97423,             0.00011611,             0.00011611,             0.00011611
                     20,                0.77348,                 1.9353,                 1.0324,                0.74607,                0.65963,                0.72445,                0.62319,                0.64257,                 1.2041,                0.98082,             0.00010667,             0.00010667,             0.00010667
                     21,                0.68496,                 1.9431,                0.99943,                0.75631,                0.61902,                0.71188,                0.61538,                0.65049,                    1.3,                0.96559,             9.7234e-05,             9.7234e-05,             9.7234e-05
                     22,                 0.6669,                 1.8377,                0.99847,                0.79326,                0.68873,                0.75438,                 0.6554,                0.62738,                 1.1384,                0.95727,             8.7796e-05,             8.7796e-05,             8.7796e-05
                     23,                0.64768,                 1.7677,                0.97636,                 0.8022,                0.69952,                0.77543,                0.67319,                0.62122,                 1.0838,                0.95925,             7.8358e-05,             7.8358e-05,             7.8358e-05
                     24,                0.64224,                 1.6867,                0.98209,                0.79854,                0.72768,                0.80097,                0.69543,                0.61685,                 1.0493,                0.95358,             6.8919e-05,             6.8919e-05,             6.8919e-05
