                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99426,                 3.0087,                 1.2566,                      0,                      0,                      0,                      0,                0.72351,                 2.8105,                  1.007,               9.35e-05,               9.35e-05,               9.35e-05
                      2,                0.92515,                 2.7257,                 1.1902,                0.02281,                0.58327,                0.04912,                 0.0423,                0.75319,                 2.4582,                  1.025,             0.00018348,             0.00018348,             0.00018348
                      3,                0.93282,                 2.4932,                 1.1998,                0.40137,                0.13533,                0.10684,                0.08957,                 0.7802,                 1.9872,                 1.0695,             0.00026709,             0.00026709,             0.00026709
                      4,                0.91839,                 2.3251,                 1.2078,                0.31027,                0.19472,                 0.1272,                0.10823,                0.75255,                 1.8824,                 1.0555,             0.00025764,             0.00025764,             0.00025764
                      5,                0.92213,                 2.2217,                 1.2279,                0.30512,                0.26304,                 0.1945,                0.16337,                0.74172,                 1.6666,                 1.0703,             0.00024818,             0.00024818,             0.00024818
                      6,                0.89544,                 2.0986,                  1.198,                0.35364,                0.29402,                0.24068,                0.20016,                0.76246,                 1.6049,                 1.0878,             0.00023873,             0.00023873,             0.00023873
                      7,                 0.9075,                 2.0618,                  1.197,                0.39387,                0.33444,                0.31095,                0.26796,                0.71921,                 1.5478,                  1.058,             0.00022927,             0.00022927,             0.00022927
                      8,                0.88597,                 1.9437,                 1.1901,                0.48726,                0.34131,                0.34117,                0.29096,                0.71123,                 1.4587,                 1.0478,             0.00021982,             0.00021982,             0.00021982
                      9,                0.91127,                 1.8921,                 1.2138,                0.47337,                0.39684,                0.38362,                 0.3213,                 0.7193,                 1.3915,                 1.0521,             0.00021036,             0.00021036,             0.00021036
                     10,                0.86226,                 1.8363,                 1.1778,                0.50347,                 0.4102,                0.42786,                0.36529,                0.69212,                 1.3435,                 1.0369,             0.00020091,             0.00020091,             0.00020091
                     11,                0.87886,                 1.7709,                 1.1978,                0.50232,                0.49161,                 0.4971,                 0.4249,                0.68765,                 1.2268,                 1.0487,             0.00019145,             0.00019145,             0.00019145
                     12,                0.87763,                 1.6909,                 1.1933,                0.58417,                0.45028,                0.52748,                0.45514,                0.68045,                 1.1973,                 1.0302,               0.000182,               0.000182,               0.000182
                     13,                0.85987,                 1.6335,                 1.1742,                0.58733,                0.52361,                0.55915,                0.48446,                0.67265,                 1.1495,                 1.0207,             0.00017254,             0.00017254,             0.00017254
                     14,                0.84323,                 1.5642,                 1.1654,                0.60966,                0.57965,                0.60384,                0.52176,                0.67449,                 1.0768,                 1.0416,             0.00016309,             0.00016309,             0.00016309
                     15,                0.81462,                 1.5915,                 1.1596,                0.68254,                0.55533,                0.61705,                0.53437,                0.66778,                 1.0442,                 1.0317,             0.00015363,             0.00015363,             0.00015363
                     16,                0.81972,                 1.4786,                 1.1419,                 0.6792,                0.57573,                 0.6483,                0.56302,                0.65061,                0.96337,                 1.0154,             0.00014418,             0.00014418,             0.00014418
                     17,                0.80979,                 1.4978,                  1.155,                0.72765,                 0.6043,                0.67013,                0.58227,                0.64593,                0.95078,                 1.0241,             0.00013473,             0.00013473,             0.00013473
                     18,                0.81979,                 1.4647,                 1.1574,                 0.7346,                0.62518,                0.69903,                  0.611,                0.63743,                0.88986,                 1.0089,             0.00012527,             0.00012527,             0.00012527
                     19,                0.78426,                 1.4001,                 1.1424,                0.76037,                0.63394,                 0.7122,                0.62371,                0.63316,                0.84354,                 1.0096,             0.00011582,             0.00011582,             0.00011582
                     20,                0.78235,                 1.3833,                  1.137,                0.74038,                0.65294,                0.71648,                0.62834,                0.62648,                0.82661,                 1.0063,             0.00010636,             0.00010636,             0.00010636
                     21,                0.64064,                 1.1829,                 1.0174,                 0.7614,                0.67146,                0.74085,                0.64787,                0.62514,                0.83714,                0.99458,             9.6906e-05,             9.6906e-05,             9.6906e-05
                     22,                0.62141,                 1.1432,                 1.0161,                0.77317,                0.68796,                0.76025,                0.66701,                0.60972,                0.75577,                0.99577,             8.7452e-05,             8.7452e-05,             8.7452e-05
                     23,                0.60911,                 1.1065,                0.99851,                0.78212,                  0.724,                0.78882,                0.69712,                0.59506,                0.70742,                0.98267,             7.7997e-05,             7.7997e-05,             7.7997e-05
                     24,                0.59915,                 1.0582,                0.99671,                0.83567,                0.72598,                  0.806,                0.71293,                0.59044,                0.67709,                0.97645,             6.8542e-05,             6.8542e-05,             6.8542e-05
