                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9749,                 4.5416,                 1.9886,                      0,                      0,                      0,                      0,                 1.2627,                  4.433,                 1.3986,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                 1.4532,                 4.2762,                 1.6019,                 0.0193,                0.37021,                0.02036,                0.00769,                 1.6013,                 4.1548,                 1.6658,             0.00018732,             0.00018732,             0.00018732
                      3,                 1.3666,                  3.966,                 1.5216,                0.02252,                 0.7572,                0.03562,                0.01244,                 1.6326,                 3.5789,                 1.6401,             0.00028141,             0.00028141,             0.00028141
                      4,                  1.359,                 3.7378,                 1.5403,                0.15626,                0.18209,                0.03661,                0.01441,                 1.9477,                 3.4238,                 1.7831,             0.00028317,             0.00028317,             0.00028317
                      5,                 1.3565,                 3.5986,                 1.5494,                0.21338,                0.15063,                0.05177,                0.02228,                 1.6786,                 3.1489,                 1.6735,             0.00028222,             0.00028222,             0.00028222
                      6,                 1.3458,                 3.5251,                 1.5372,                0.21094,                0.14391,                0.05708,                0.01989,                  1.942,                 3.2448,                 1.9449,             0.00028128,             0.00028128,             0.00028128
                      7,                 1.3016,                 3.4142,                 1.4975,                0.24554,                 0.1761,                 0.0721,                 0.0356,                    1.6,                 3.0106,                 1.6175,             0.00028034,             0.00028034,             0.00028034
                      8,                 1.2874,                  3.359,                 1.4981,                 0.1794,                0.15493,                0.06611,                0.04151,                 1.2438,                 2.7849,                 1.3151,             0.00027939,             0.00027939,             0.00027939
                      9,                 1.2726,                 3.2859,                 1.4682,                0.23481,                0.13068,                0.07864,                0.04977,                 1.2071,                 2.7718,                 1.2802,             0.00027845,             0.00027845,             0.00027845
                     10,                 1.2644,                 3.2345,                 1.4901,                0.19624,                0.17497,                0.10321,                0.06652,                 1.2196,                 2.6776,                 1.2966,             0.00027751,             0.00027751,             0.00027751
                     11,                  1.258,                 3.2279,                 1.4663,                0.15689,                0.18944,                0.12066,                 0.0765,                 1.3026,                 2.6588,                 1.3351,             0.00027656,             0.00027656,             0.00027656
                     12,                  1.232,                 3.1627,                 1.4648,                0.24153,                0.21163,                0.13374,                0.07118,                 1.6056,                 2.6946,                 1.5506,             0.00027562,             0.00027562,             0.00027562
                     13,                 1.2412,                 3.1185,                 1.4489,                0.20586,                0.22445,                0.14687,                0.10275,                 1.1439,                 2.5079,                  1.222,             0.00027467,             0.00027467,             0.00027467
                     14,                 1.2313,                 3.1411,                 1.4513,                0.25461,                0.23507,                0.16009,                0.11732,                 1.0368,                  2.446,                 1.1778,             0.00027373,             0.00027373,             0.00027373
                     15,                 1.2184,                 3.0484,                 1.4494,                0.26192,                0.24478,                0.18059,                0.12414,                 1.1541,                 2.4007,                 1.2423,             0.00027279,             0.00027279,             0.00027279
                     16,                 1.1644,                 3.0208,                 1.4158,                0.28847,                0.28393,                0.20698,                0.12939,                 1.2969,                 2.4184,                 1.3267,             0.00027184,             0.00027184,             0.00027184
                     17,                 1.2109,                 2.9578,                 1.4269,                0.26863,                0.27533,                0.20526,                0.13321,                 1.2488,                 2.3781,                 1.3048,              0.0002709,              0.0002709,              0.0002709
                     18,                 1.1918,                 2.9345,                 1.4188,                0.34367,                0.27939,                0.23319,                0.15551,                 1.1952,                  2.299,                 1.2589,             0.00026996,             0.00026996,             0.00026996
                     19,                 1.1835,                 2.8537,                 1.4023,                0.30474,                0.34742,                0.26052,                 0.1738,                  1.215,                 2.2527,                 1.2594,             0.00026901,             0.00026901,             0.00026901
                     20,                  1.177,                 2.8227,                 1.4169,                0.23465,                0.36279,                0.26986,                0.19293,                 1.0453,                 2.2053,                 1.1696,             0.00026807,             0.00026807,             0.00026807
                     21,                 1.2029,                 2.8478,                 1.4282,                0.45762,                0.25668,                0.30244,                0.19988,                 1.1473,                 2.1522,                 1.2452,             0.00026712,             0.00026712,             0.00026712
                     22,                 1.1943,                 2.7945,                 1.4144,                0.38213,                0.32447,                0.31022,                0.21759,                  1.066,                 2.1619,                 1.1815,             0.00026618,             0.00026618,             0.00026618
                     23,                 1.1254,                 2.7212,                 1.3724,                 0.3749,                0.38092,                0.35078,                 0.2532,                 1.0289,                 2.0405,                 1.1682,             0.00026524,             0.00026524,             0.00026524
                     24,                 1.1556,                 2.7511,                  1.397,                0.40967,                0.38589,                0.37149,                0.24549,                 1.2101,                 2.0311,                 1.2588,             0.00026429,             0.00026429,             0.00026429
                     25,                 1.1309,                 2.6697,                 1.3754,                0.46487,                0.40962,                0.42495,                0.28103,                 1.2365,                 1.9484,                 1.2827,             0.00026335,             0.00026335,             0.00026335
                     26,                 1.1505,                 2.6845,                 1.4023,                 0.4316,                0.46903,                 0.4318,                0.25928,                 1.4382,                 1.9021,                 1.4242,             0.00026241,             0.00026241,             0.00026241
                     27,                 1.1648,                 2.6207,                 1.3951,                 0.4737,                0.43322,                0.44446,                0.21742,                 1.7167,                 1.9896,                 1.6929,             0.00026146,             0.00026146,             0.00026146
                     28,                  1.158,                 2.6124,                 1.4124,                0.45309,                0.48195,                0.48698,                0.33248,                 1.1208,                  1.783,                 1.2147,             0.00026052,             0.00026052,             0.00026052
