                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94874,                 4.3638,                 1.1297,                      0,                      0,                      0,                      0,                0.69357,                 4.0642,                 0.9343,             8.6821e-05,             8.6821e-05,             8.6821e-05
                      2,                0.87251,                    3.9,                   1.09,                0.02175,                 0.6289,                0.05129,                 0.0442,                0.72373,                 3.4971,                0.95131,             0.00017037,             0.00017037,             0.00017037
                      3,                0.90946,                 3.6018,                 1.1054,                0.37556,                0.12351,                0.08882,                0.07448,                0.75189,                 3.0312,                0.98115,             0.00024802,             0.00024802,             0.00024802
                      4,                0.96181,                 3.3834,                 1.1456,                0.23688,                0.17478,                0.12581,                0.10505,                0.73703,                 2.7598,                 1.0045,             0.00025765,             0.00025765,             0.00025765
                      5,                0.92332,                 3.1825,                 1.1323,                0.31605,                0.22121,                0.19013,                0.15802,                0.72418,                 2.5609,                0.99129,              0.0002482,              0.0002482,              0.0002482
                      6,                0.91206,                 3.0791,                 1.1254,                0.35436,                0.26193,                0.23772,                0.19923,                0.72509,                 2.3468,                 1.0076,             0.00023875,             0.00023875,             0.00023875
                      7,                0.85555,                 2.9122,                 1.0866,                0.36621,                0.30871,                0.29391,                0.24543,                0.71319,                 2.1981,                0.99417,              0.0002293,              0.0002293,              0.0002293
                      8,                0.89321,                   2.77,                  1.113,                0.38238,                0.34963,                0.33986,                0.28419,                0.69262,                 2.0732,                 0.9877,             0.00021985,             0.00021985,             0.00021985
                      9,                0.85454,                 2.6822,                 1.0776,                0.42948,                0.37552,                0.38276,                0.32118,                0.67943,                 1.9528,                0.98464,              0.0002104,              0.0002104,              0.0002104
                     10,                0.85303,                 2.5452,                 1.0914,                0.58454,                0.39186,                0.44941,                 0.3797,                0.67332,                 1.8975,                0.97498,             0.00020095,             0.00020095,             0.00020095
                     11,                0.87952,                  2.529,                  1.099,                0.57389,                0.45033,                0.49363,                0.41719,                 0.6704,                 1.7569,                0.97537,              0.0001915,              0.0001915,              0.0001915
                     12,                0.83964,                 2.3779,                 1.0729,                0.56316,                0.51049,                0.53159,                0.45576,                0.65673,                 1.6789,                0.97264,             0.00018205,             0.00018205,             0.00018205
                     13,                0.81225,                 2.3347,                 1.0594,                0.59039,                0.51976,                0.56452,                0.48349,                0.64952,                 1.6137,                0.96204,              0.0001726,              0.0001726,              0.0001726
                     14,                0.82415,                 2.3059,                 1.0859,                0.64651,                0.56148,                0.61373,                0.52432,                0.65641,                 1.4798,                0.95846,             0.00016315,             0.00016315,             0.00016315
                     15,                0.81256,                 2.2043,                 1.0609,                0.65968,                0.57235,                0.63145,                0.54219,                0.64608,                 1.4405,                 0.9497,              0.0001537,              0.0001537,              0.0001537
                     16,                0.79981,                 2.1489,                 1.0733,                0.67799,                0.61717,                0.66114,                0.56016,                 0.6478,                 1.3705,                0.95983,             0.00014425,             0.00014425,             0.00014425
                     17,                0.81747,                 2.1137,                 1.0619,                0.71606,                0.61729,                0.68064,                0.58416,                0.63874,                 1.3354,                0.94698,              0.0001348,              0.0001348,              0.0001348
                     18,                0.81403,                  2.051,                 1.0526,                0.71153,                0.61573,                0.69127,                0.59221,                0.63627,                 1.2753,                0.95101,             0.00012535,             0.00012535,             0.00012535
                     19,                0.79548,                 1.9858,                 1.0467,                0.76073,                0.65314,                0.72208,                0.62392,                 0.6279,                 1.2412,                0.93982,              0.0001159,              0.0001159,              0.0001159
