                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1143,                 2.4821,                 1.3339,                0.50757,                0.50063,                0.52648,                0.39345,                0.93619,                 1.6759,                 1.1123,             0.00026264,             0.00026264,             0.00026264
                     35,                 1.1309,                 2.4862,                 1.3428,                0.52487,                0.51228,                 0.5103,                 0.3696,                0.99411,                 1.6784,                 1.1512,             0.00026193,             0.00026193,             0.00026193
                     36,                 1.1203,                 2.3712,                 1.3457,                0.54087,                0.49816,                0.52684,                0.38087,                 1.0405,                 1.7181,                 1.1548,             0.00026123,             0.00026123,             0.00026123
                     37,                 1.0904,                 2.3585,                 1.2974,                0.51305,                0.55104,                0.53812,                0.36278,                 1.1583,                 1.6758,                 1.2414,             0.00026052,             0.00026052,             0.00026052
                     38,                 1.1341,                 2.4232,                 1.3315,                0.53245,                0.53822,                0.56314,                0.41248,                 0.9562,                 1.6369,                 1.1284,             0.00025981,             0.00025981,             0.00025981
                     39,                 1.1056,                 2.3184,                 1.3012,                0.60847,                0.52762,                0.58132,                0.37259,                 1.2095,                 1.5944,                 1.2699,              0.0002591,              0.0002591,              0.0002591
                     40,                 1.0969,                 2.3188,                 1.3066,                0.61576,                0.55669,                0.60626,                0.44578,                0.96412,                 1.5094,                 1.1233,             0.00025839,             0.00025839,             0.00025839
                     41,                 1.0838,                 2.2965,                  1.317,                 0.5502,                0.56575,                 0.5794,                0.42503,                0.96195,                 1.5235,                 1.1329,             0.00025769,             0.00025769,             0.00025769
                     42,                 1.1077,                 2.3224,                  1.335,                0.52662,                0.59279,                 0.5934,                0.43383,                 1.0008,                 1.5397,                 1.1349,             0.00025698,             0.00025698,             0.00025698
                     43,                 1.1047,                 2.3024,                 1.3073,                0.60454,                0.58735,                0.59977,                 0.4644,                0.87461,                 1.4719,                 1.0716,             0.00025627,             0.00025627,             0.00025627
                     44,                 1.1197,                 2.2857,                  1.321,                0.63196,                0.57946,                0.63399,                0.42856,                 1.1737,                 1.4815,                 1.2359,             0.00025556,             0.00025556,             0.00025556
                     45,                 1.1057,                 2.2023,                 1.3288,                0.60989,                0.58658,                0.62012,                  0.475,                0.88517,                 1.4713,                 1.0892,             0.00025485,             0.00025485,             0.00025485
                     46,                 1.1202,                 2.2431,                 1.3299,                0.64165,                0.59153,                0.64782,                0.48833,                0.93884,                 1.4142,                 1.1143,             0.00025415,             0.00025415,             0.00025415
                     47,                 1.0742,                 2.1948,                 1.3003,                0.62899,                0.58596,                0.64474,                0.48258,                0.93667,                 1.4144,                 1.1003,             0.00025344,             0.00025344,             0.00025344
                     48,                 1.0555,                 2.1609,                  1.299,                0.57311,                0.64079,                0.65424,                0.48484,                0.95726,                 1.3989,                 1.1156,             0.00025273,             0.00025273,             0.00025273
                     49,                 1.0805,                 2.1936,                 1.2887,                0.60889,                0.58268,                0.62596,                0.44793,                0.98302,                 1.4959,                  1.122,             0.00025202,             0.00025202,             0.00025202
                     50,                 1.0724,                 2.1684,                 1.2996,                 0.6221,                0.62257,                0.66936,                0.47816,                 1.0623,                 1.3704,                 1.1618,             0.00025132,             0.00025132,             0.00025132
                     51,                 1.0702,                 2.1648,                 1.2945,                0.64982,                 0.5975,                0.67306,                0.46782,                 1.1223,                 1.3926,                 1.2072,             0.00025061,             0.00025061,             0.00025061
                     52,                 1.0779,                 2.1301,                 1.3231,                0.63311,                0.64219,                0.68946,                 0.4577,                 1.2133,                  1.381,                 1.2543,              0.0002499,              0.0002499,              0.0002499
                     53,                 1.0544,                 2.1459,                 1.2863,                0.70189,                0.61491,                    0.7,                0.53497,                0.90901,                 1.2914,                 1.0878,             0.00024919,             0.00024919,             0.00024919
                     54,                 1.0533,                 2.0992,                 1.2654,                 0.6703,                0.68005,                0.70599,                0.53376,                0.92743,                 1.2864,                 1.1024,             0.00024848,             0.00024848,             0.00024848
                     55,                  1.049,                 2.0671,                 1.2785,                0.66017,                0.71188,                0.72595,                0.52909,                 1.0125,                 1.2414,                  1.126,             0.00024778,             0.00024778,             0.00024778
                     56,                 1.0399,                 2.0385,                 1.2706,                0.60992,                0.65792,                0.66858,                0.48947,                 1.0018,                 1.2973,                 1.1249,             0.00024707,             0.00024707,             0.00024707
                     57,                 1.0435,                 2.0482,                 1.2616,                0.70215,                0.67044,                 0.7273,                 0.4898,                 1.1777,                 1.2327,                 1.2148,             0.00024636,             0.00024636,             0.00024636
                     58,                 1.0468,                 2.0621,                 1.2816,                0.71309,                0.66275,                0.71782,                0.50556,                 1.0704,                 1.2525,                 1.1579,             0.00024565,             0.00024565,             0.00024565
                     59,                 1.0602,                   2.04,                 1.2521,                0.74715,                0.68458,                0.76546,                0.53238,                 1.1034,                 1.1874,                 1.2045,             0.00024494,             0.00024494,             0.00024494
                     60,                 1.0655,                 1.9701,                 1.2818,                0.74625,                0.64037,                0.73634,                0.56904,                0.87934,                 1.1763,                 1.0741,             0.00024424,             0.00024424,             0.00024424
                     61,                 1.0598,                 1.9973,                 1.2902,                0.65944,                0.68988,                0.72811,                0.55878,                 0.8875,                 1.1987,                 1.0842,             0.00024353,             0.00024353,             0.00024353
                     62,                  1.039,                 2.0283,                 1.2379,                0.68825,                0.68614,                0.74722,                0.53278,                 1.0697,                  1.183,                 1.1604,             0.00024282,             0.00024282,             0.00024282
