                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3558,                 2.9851,                 1.2221,                      0,                      0,                      0,                      0,                0.97387,                 2.7695,                0.97169,              9.724e-05,              9.724e-05,              9.724e-05
                      2,                 1.2052,                  2.678,                 1.1575,                0.02121,                0.59585,                0.04953,                0.04291,                 1.0126,                 2.4215,                0.99162,             0.00019082,             0.00019082,             0.00019082
                      3,                 1.2675,                 2.5081,                 1.1818,                0.37771,                 0.1012,                0.08969,                0.07625,                 1.0478,                 2.0604,                 1.0355,             0.00026711,             0.00026711,             0.00026711
                      4,                 1.3297,                 2.3641,                 1.2213,                0.28538,                  0.179,                0.11305,                0.09403,                 1.0442,                 1.8567,                 1.0535,             0.00025766,             0.00025766,             0.00025766
                      5,                 1.2968,                 2.2279,                 1.2151,                0.32055,                0.19164,                0.16463,                0.14104,                 1.0132,                 1.7389,                 1.0527,             0.00024821,             0.00024821,             0.00024821
                      6,                  1.273,                 2.1532,                 1.2106,                0.34037,                 0.2747,                0.21975,                0.18738,                  1.012,                 1.6558,                 1.0509,             0.00023877,             0.00023877,             0.00023877
                      7,                 1.2574,                 2.0489,                 1.1778,                0.36773,                0.27028,                0.27788,                0.23691,                0.98575,                 1.5803,                 1.0338,             0.00022932,             0.00022932,             0.00022932
                      8,                 1.2415,                 1.9627,                 1.2019,                0.36942,                0.32402,                0.31038,                0.26285,                0.98266,                 1.4589,                 1.0421,             0.00021988,             0.00021988,             0.00021988
                      9,                 1.1839,                 1.8851,                 1.1549,                0.41597,                0.35442,                0.35325,                0.30157,                0.95796,                 1.4267,                 1.0312,             0.00021043,             0.00021043,             0.00021043
                     10,                 1.2082,                 1.8084,                 1.1713,                0.54077,                0.37787,                0.42039,                0.36097,                0.92888,                 1.3276,                 1.0218,             0.00020098,             0.00020098,             0.00020098
                     11,                 1.2292,                 1.8086,                 1.1841,                0.48595,                0.42628,                0.44784,                0.38493,                0.92637,                 1.2543,                 1.0207,             0.00019154,             0.00019154,             0.00019154
                     12,                  1.211,                 1.7483,                 1.1742,                0.52294,                0.43438,                0.48627,                 0.4215,                 0.9089,                 1.2612,                 1.0067,             0.00018209,             0.00018209,             0.00018209
                     13,                 1.1564,                 1.6969,                 1.1358,                0.60135,                0.44342,                0.52736,                0.45369,                0.90866,                 1.1933,                 1.0199,             0.00017264,             0.00017264,             0.00017264
                     14,                 1.1648,                 1.6921,                  1.165,                0.60313,                0.47991,                0.55987,                0.48516,                0.91394,                 1.1275,                 1.0108,              0.0001632,              0.0001632,              0.0001632
                     15,                 1.1467,                 1.6293,                 1.1491,                0.61865,                0.51612,                0.58453,                0.50581,                0.90085,                 1.0815,                  1.005,             0.00015375,             0.00015375,             0.00015375
                     16,                 1.1458,                 1.5799,                 1.1659,                  0.625,                0.54447,                0.60797,                0.52296,                0.88039,                 1.0417,                 1.0114,              0.0001443,              0.0001443,              0.0001443
                     17,                 1.1225,                 1.5355,                 1.1315,                0.61947,                0.59091,                0.63587,                0.55086,                0.87434,                0.97872,                 1.0068,             0.00013486,             0.00013486,             0.00013486
                     18,                 1.1322,                  1.513,                 1.1368,                0.64124,                0.59858,                0.64533,                0.55689,                0.87985,                0.96569,                0.99591,             0.00012541,             0.00012541,             0.00012541
                     19,                 1.1257,                 1.4662,                 1.1288,                0.65958,                0.61998,                 0.6729,                0.58426,                0.84864,                0.91268,                0.98909,             0.00011596,             0.00011596,             0.00011596
                     20,                 1.1106,                 1.4319,                 1.1357,                0.71725,                0.60357,                0.68321,                0.59675,                0.84495,                0.89747,                0.98592,             0.00010652,             0.00010652,             0.00010652
                     21,                0.88222,                 1.3218,                 1.0033,                0.69976,                 0.6157,                0.69394,                0.60717,                 0.8401,                0.90084,                0.97431,             9.7072e-05,             9.7072e-05,             9.7072e-05
                     22,                0.84755,                 1.2383,                 1.0063,                0.73221,                 0.6677,                0.72923,                0.63871,                0.82099,                0.81027,                0.97315,             8.7626e-05,             8.7626e-05,             8.7626e-05
                     23,                0.84048,                 1.2025,                0.99683,                0.76611,                0.66706,                0.74977,                0.66232,                0.81075,                0.78358,                0.97094,             7.8179e-05,             7.8179e-05,             7.8179e-05
                     24,                0.82981,                 1.1589,                0.99196,                0.78906,                0.70874,                0.77349,                0.68283,                0.80011,                0.73916,                0.96506,             6.8733e-05,             6.8733e-05,             6.8733e-05
                     25,                 0.8331,                 1.1328,                0.97782,                0.82338,                0.70678,                0.79353,                0.70548,                0.78152,                0.70224,                0.96219,             5.9287e-05,             5.9287e-05,             5.9287e-05
                     26,                0.82519,                 1.1093,                0.99088,                0.83109,                0.72104,                0.80073,                0.71252,                 0.7741,                0.69149,                0.95453,              4.984e-05,              4.984e-05,              4.984e-05
                     27,                0.81594,                 1.0657,                0.97771,                 0.8336,                0.73048,                0.81036,                0.72404,                0.76602,                0.67388,                0.95097,             4.0394e-05,             4.0394e-05,             4.0394e-05
                     28,                0.80409,                 1.0439,                0.97326,                0.83848,                0.73337,                0.82044,                0.73341,                0.75904,                0.65923,                0.94542,             3.0947e-05,             3.0947e-05,             3.0947e-05
                     29,                0.79045,                 1.0431,                0.97408,                0.86485,                0.73045,                0.82622,                 0.7387,                0.75539,                0.64997,                 0.9453,             2.1501e-05,             2.1501e-05,             2.1501e-05
                     30,                0.78309,                 1.0381,                0.97065,                0.86225,                0.73071,                 0.8272,                0.74202,                0.75155,                0.64164,                0.94429,             1.2055e-05,             1.2055e-05,             1.2055e-05
