                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.929,                 4.3606,                  1.146,                      0,                      0,                      0,                      0,                0.67986,                  4.073,                0.94283,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                0.85138,                 3.8873,                 1.0996,                0.02018,                  0.658,                0.05324,                0.04544,                0.72185,                 3.4298,                 0.9656,             0.00018732,             0.00018732,             0.00018732
                      3,                0.89078,                 3.5763,                 1.1242,                0.41611,                0.10879,                0.08339,                0.06914,                0.73808,                 3.0232,                  1.003,             0.00028141,             0.00028141,             0.00028141
                      4,                0.92955,                 3.3398,                 1.1606,                0.21685,                0.19521,                0.12506,                0.10334,                0.75623,                 2.6538,                 1.0337,             0.00028317,             0.00028317,             0.00028317
                      5,                0.91587,                 3.1833,                 1.1593,                0.39051,                0.22975,                0.18759,                 0.1581,                0.72591,                 2.5029,                 1.0194,             0.00028222,             0.00028222,             0.00028222
                      6,                0.89889,                  3.069,                 1.1412,                0.35211,                0.25095,                0.23814,                0.19791,                0.71589,                 2.4047,                 1.0229,             0.00028128,             0.00028128,             0.00028128
                      7,                0.85531,                 2.8957,                 1.1031,                0.47165,                0.30831,                0.32136,                0.27015,                0.70135,                 2.1369,                 1.0036,             0.00028034,             0.00028034,             0.00028034
                      8,                0.87972,                 2.7231,                  1.134,                0.52209,                0.34737,                0.38718,                0.32575,                0.68234,                 2.0109,                0.98738,             0.00027939,             0.00027939,             0.00027939
                      9,                0.84996,                 2.6271,                 1.1004,                0.46859,                0.40767,                0.41335,                0.34676,                0.68279,                 1.9316,                 1.0021,             0.00027845,             0.00027845,             0.00027845
                     10,                0.85322,                 2.4926,                 1.1145,                0.48361,                0.44148,                0.46189,                0.38765,                0.67202,                 1.8848,                0.98875,             0.00027751,             0.00027751,             0.00027751
                     11,                0.85874,                 2.4579,                 1.1174,                0.57586,                0.49576,                0.52036,                0.43669,                0.66951,                 1.7049,                0.99069,             0.00027656,             0.00027656,             0.00027656
                     12,                 0.8323,                 2.3048,                 1.0936,                0.61887,                0.48049,                 0.5556,                0.46509,                0.67935,                 1.7202,                0.99601,             0.00027562,             0.00027562,             0.00027562
                     13,                0.82126,                 2.2568,                 1.0819,                0.58458,                0.57976,                0.59428,                0.50549,                0.65059,                 1.5788,                0.97295,             0.00027467,             0.00027467,             0.00027467
                     14,                0.83351,                 2.2208,                 1.1114,                0.63845,                0.58812,                0.61917,                0.52427,                0.66199,                 1.4741,                0.97859,             0.00027373,             0.00027373,             0.00027373
                     15,                0.81151,                 2.1102,                 1.0801,                0.67828,                0.62374,                0.66447,                0.56352,                0.64907,                  1.367,                0.96889,             0.00027279,             0.00027279,             0.00027279
                     16,                0.78754,                 2.0518,                 1.0872,                0.73216,                0.59657,                0.66826,                0.56432,                0.65185,                 1.3694,                0.97387,             0.00027184,             0.00027184,             0.00027184
                     17,                0.80926,                 2.0174,                 1.0856,                 0.7252,                 0.6536,                0.71566,                0.60821,                0.63981,                 1.2472,                0.96335,              0.0002709,              0.0002709,              0.0002709
                     18,                0.80944,                 1.9413,                 1.0735,                0.77103,                0.64103,                0.74054,                0.62436,                0.64654,                 1.2376,                0.97563,             0.00026996,             0.00026996,             0.00026996
                     19,                0.80263,                 1.8755,                 1.0753,                0.72821,                0.68921,                0.72872,                0.62085,                0.63889,                 1.2335,                0.95518,             0.00026901,             0.00026901,             0.00026901
                     20,                0.78728,                 1.7936,                 1.0757,                0.78975,                0.69372,                0.77799,                0.66439,                0.62912,                 1.1024,                0.95264,             0.00026807,             0.00026807,             0.00026807
                     21,                0.80499,                 1.8394,                 1.0836,                0.79823,                0.68006,                0.78927,                0.67595,                0.62332,                 1.1454,                0.94749,             0.00026712,             0.00026712,             0.00026712
                     22,                0.77964,                 1.7355,                 1.0584,                0.81133,                0.72412,                0.80977,                0.69315,                0.62024,                 1.0329,                0.95124,             0.00026618,             0.00026618,             0.00026618
                     23,                0.78324,                 1.7074,                 1.0601,                0.80826,                0.73242,                0.81588,                0.69829,                0.62775,                0.98468,                0.96094,             0.00026524,             0.00026524,             0.00026524
                     24,                0.77829,                 1.7093,                 1.0579,                0.81747,                0.75549,                0.82321,                0.70512,                0.61887,                0.98832,                0.94736,             0.00026429,             0.00026429,             0.00026429
                     25,                0.75394,                 1.6081,                 1.0382,                0.82481,                 0.7642,                0.84676,                0.73037,                0.61959,                0.95074,                  0.941,             0.00026335,             0.00026335,             0.00026335
                     26,                0.78846,                 1.6478,                 1.0728,                0.82529,                0.78406,                0.85061,                0.72942,                 0.6056,                0.96464,                0.94095,             0.00026241,             0.00026241,             0.00026241
                     27,                0.75523,                 1.5774,                 1.0489,                0.83529,                0.76051,                0.85102,                0.73639,                0.60181,                0.92813,                0.94079,             0.00026146,             0.00026146,             0.00026146
                     28,                 0.7471,                  1.542,                 1.0539,                0.83758,                0.80351,                0.88231,                0.75681,                0.60671,                0.84797,                0.94506,             0.00026052,             0.00026052,             0.00026052
                     29,                0.75354,                 1.5013,                  1.035,                0.81608,                0.78794,                0.85587,                0.73449,                0.60201,                0.89264,                0.93172,             0.00025957,             0.00025957,             0.00025957
                     30,                0.75491,                 1.5087,                 1.0525,                0.89165,                0.80176,                0.87502,                0.75009,                0.61072,                0.86522,                 0.9397,             0.00025863,             0.00025863,             0.00025863
                     31,                0.74699,                 1.4713,                 1.0452,                0.90251,                0.82236,                0.90022,                0.78028,                0.58978,                0.77181,                0.93688,             0.00025769,             0.00025769,             0.00025769
                     32,                0.75181,                 1.4457,                 1.0432,                0.89107,                0.80335,                0.89631,                0.77152,                0.59753,                0.78373,                0.93437,             0.00025674,             0.00025674,             0.00025674
                     33,                0.76113,                 1.4829,                 1.0522,                0.89847,                0.81548,                0.90507,                0.78229,                0.58958,                0.79702,                0.92624,              0.0002558,              0.0002558,              0.0002558
                     34,                0.73306,                 1.4281,                 1.0359,                0.88564,                0.83936,                0.90716,                 0.7917,                0.58205,                0.77315,                0.92273,             0.00025485,             0.00025485,             0.00025485
                     35,                0.73343,                 1.3507,                 1.0315,                0.93632,                0.82209,                0.92073,                0.80325,                 0.5724,                0.73189,                0.92412,             0.00025391,             0.00025391,             0.00025391
                     36,                0.74263,                  1.361,                 1.0496,                0.89296,                0.85683,                0.91873,                 0.7987,                0.59461,                0.75194,                0.91744,             0.00025297,             0.00025297,             0.00025297
                     37,                0.71422,                 1.3006,                 1.0262,                0.91453,                0.83697,                0.92072,                0.80532,                0.57493,                0.70865,                0.92657,             0.00025202,             0.00025202,             0.00025202
                     38,                0.72723,                 1.3475,                 1.0289,                0.91648,                0.85986,                  0.932,                0.81774,                0.56291,                0.69174,                0.92249,             0.00025108,             0.00025108,             0.00025108
                     39,                0.71917,                 1.2743,                 1.0225,                0.89991,                0.87076,                 0.9297,                0.81048,                0.56728,                0.68097,                0.91498,             0.00025014,             0.00025014,             0.00025014
                     40,                0.72002,                 1.2901,                 1.0278,                0.92715,                0.86077,                0.93476,                0.81207,                0.56989,                0.67106,                0.91638,             0.00024919,             0.00024919,             0.00024919
                     41,                0.71399,                 1.2774,                 1.0192,                0.92607,                 0.8875,                0.93962,                0.82456,                0.55822,                0.63817,                0.91506,             0.00024825,             0.00024825,             0.00024825
                     42,                0.69091,                 1.2487,                 1.0222,                0.94435,                0.85165,                0.93908,                0.82586,                0.55563,                0.66682,                0.90808,              0.0002473,              0.0002473,              0.0002473
                     43,                0.68114,                 1.2084,                 1.0007,                 0.9378,                0.85277,                0.93828,                0.82574,                0.55834,                0.64796,                0.91125,             0.00024636,             0.00024636,             0.00024636
                     44,                0.69656,                 1.2337,                 1.0122,                0.91201,                0.85682,                0.93319,                0.82027,                0.56034,                0.65033,                0.91414,             0.00024542,             0.00024542,             0.00024542
                     45,                 0.6864,                 1.1879,                 1.0212,                0.94843,                 0.8764,                0.95358,                0.83624,                0.54959,                0.60578,                0.90954,             0.00024447,             0.00024447,             0.00024447
                     46,                0.70557,                 1.2114,                 1.0214,                0.92987,                0.88379,                0.94374,                0.82223,                0.55854,                0.61098,                0.91156,             0.00024353,             0.00024353,             0.00024353
                     47,                 0.7036,                 1.1759,                 1.0142,                0.94649,                 0.8897,                0.95219,                0.83234,                0.55082,                0.58481,                0.91424,             0.00024259,             0.00024259,             0.00024259
                     48,                0.69369,                  1.164,                 1.0232,                0.92795,                0.89433,                0.94623,                0.83052,                0.55835,                0.59472,                0.90827,             0.00024164,             0.00024164,             0.00024164
                     49,                0.69239,                 1.1639,                 1.0032,                0.95147,                0.90832,                0.95643,                0.84144,                0.54519,                0.56467,                 0.9081,              0.0002407,              0.0002407,              0.0002407
                     50,                0.67256,                 1.1068,                 1.0038,                0.94807,                0.90863,                0.95665,                0.84413,                0.54337,                0.55861,                0.90196,             0.00023975,             0.00023975,             0.00023975
                     51,                0.69748,                 1.1654,                 1.0062,                0.92755,                0.89127,                0.95141,                0.83834,                0.53803,                0.59639,                 0.9018,             0.00023881,             0.00023881,             0.00023881
                     52,                0.68462,                 1.1161,                 1.0164,                0.95093,                0.90176,                0.95711,                0.84914,                0.53915,                0.56256,                0.90198,             0.00023787,             0.00023787,             0.00023787
                     53,                0.69262,                 1.1513,                  1.013,                0.91833,                0.90612,                0.96446,                0.84737,                0.54442,                0.56179,                0.90074,             0.00023692,             0.00023692,             0.00023692
                     54,                0.66536,                 1.0729,                 1.0015,                0.94286,                0.91182,                0.95664,                0.84853,                0.53067,                0.55385,                0.89416,             0.00023598,             0.00023598,             0.00023598
                     55,                0.67281,                 1.0894,                0.99813,                0.94793,                0.90004,                0.95963,                0.84895,                 0.5333,                0.56004,                0.89387,             0.00023503,             0.00023503,             0.00023503
                     56,                0.66947,                 1.0902,                 1.0053,                0.94682,                0.93003,                0.96808,                0.85913,                0.52606,                0.51678,                0.89327,             0.00023409,             0.00023409,             0.00023409
                     57,                0.66537,                 1.0793,                0.99146,                0.95188,                0.92041,                0.96859,                0.85649,                0.53316,                0.52236,                0.89139,             0.00023315,             0.00023315,             0.00023315
                     58,                0.68075,                 1.0994,                 1.0169,                0.96039,                0.91432,                0.96609,                0.85132,                0.54107,                0.51848,                0.89863,              0.0002322,              0.0002322,              0.0002322
                     59,                0.67626,                 1.0768,                0.98489,                0.95003,                0.92265,                0.97233,                0.86439,                0.51818,                0.51427,                0.88991,             0.00023126,             0.00023126,             0.00023126
                     60,                0.66012,                 1.0219,                 1.0044,                0.96116,                0.92572,                0.96999,                0.86402,                 0.5142,                0.49807,                0.88651,             0.00023032,             0.00023032,             0.00023032
                     61,                0.65269,                 1.0267,                0.99338,                0.96618,                 0.9332,                0.97473,                0.86699,                 0.4996,                0.48563,                0.88241,             0.00022937,             0.00022937,             0.00022937
                     62,                0.67823,                 1.0522,                0.99113,                0.96344,                0.93693,                0.97851,                0.87072,                0.50961,                0.48843,                0.88455,             0.00022843,             0.00022843,             0.00022843
                     63,                0.64866,                 1.0001,                0.97698,                0.95865,                 0.9273,                0.97857,                0.87252,                 0.5088,                0.50114,                0.88596,             0.00022748,             0.00022748,             0.00022748
                     64,                0.63614,                0.98088,                0.97101,                0.97021,                0.93344,                0.97638,                 0.8709,                 0.5077,                    0.5,                0.88058,             0.00022654,             0.00022654,             0.00022654
                     65,                0.65542,                 1.0289,                0.99127,                0.96379,                0.93457,                0.97729,                0.87267,                0.50238,                0.48273,                0.87909,              0.0002256,              0.0002256,              0.0002256
                     66,                0.64305,                0.96916,                0.98755,                0.95973,                0.93816,                 0.9761,                0.87003,                0.50805,                0.48622,                0.88128,             0.00022465,             0.00022465,             0.00022465
                     67,                0.66024,                0.98151,                0.99043,                0.96761,                0.93991,                0.97545,                0.87047,                0.51182,                 0.4732,                0.88317,             0.00022371,             0.00022371,             0.00022371
                     68,                0.64789,                0.96466,                0.98901,                0.97449,                0.94499,                0.97528,                0.87288,                0.49609,                0.46133,                0.87872,             0.00022277,             0.00022277,             0.00022277
                     69,                 0.6397,                0.95428,                0.97861,                0.96037,                0.94967,                 0.9822,                0.87953,                0.49363,                0.46676,                0.87836,             0.00022182,             0.00022182,             0.00022182
                     70,                 0.6434,                0.96642,                0.98845,                0.97026,                0.94519,                 0.9779,                0.87622,                0.48446,                0.44342,                0.87315,             0.00022088,             0.00022088,             0.00022088
