                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9774,                 4.6682,                 1.0835,                      0,                      0,                      0,                      0,                0.69888,                 4.3386,                0.88254,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                0.88346,                 4.1763,                 1.0228,                 0.0195,                0.64711,                0.05612,                0.04817,                0.74916,                 3.6539,                0.91021,             0.00018173,             0.00018173,             0.00018173
                      3,                0.91765,                 3.8208,                 1.0434,                0.33599,                0.12562,                0.09698,                0.08201,                0.76634,                  3.264,                0.94004,             0.00026455,             0.00026455,             0.00026455
                      4,                0.93415,                 3.5618,                 1.0583,                0.32258,                0.17655,                0.13396,                0.11039,                0.77492,                 2.9409,                0.96001,             0.00025764,             0.00025764,             0.00025764
                      5,                0.93231,                 3.4096,                 1.0745,                0.26977,                0.24902,                0.19822,                0.16351,                0.76266,                 2.5977,                0.95294,             0.00024819,             0.00024819,             0.00024819
                      6,                 0.8841,                 3.2293,                 1.0474,                0.34917,                0.26066,                0.23507,                0.19417,                0.72776,                 2.4732,                0.94949,             0.00023874,             0.00023874,             0.00023874
                      7,                0.88264,                 3.1135,                 1.0479,                0.40066,                 0.3061,                0.27176,                0.22506,                0.71435,                 2.4329,                0.93075,             0.00022928,             0.00022928,             0.00022928
                      8,                0.89155,                 3.0057,                 1.0575,                0.42932,                 0.3631,                0.34345,                0.29058,                0.71403,                 2.2873,                0.92421,             0.00021983,             0.00021983,             0.00021983
                      9,                0.91215,                 2.8846,                 1.0517,                0.47279,                0.40244,                0.40863,                0.34615,                0.70542,                 2.0378,                0.94141,             0.00021038,             0.00021038,             0.00021038
                     10,                0.87385,                 2.8111,                  1.027,                0.43967,                 0.4557,                0.45455,                0.38328,                0.70316,                 1.9659,                0.94407,             0.00020093,             0.00020093,             0.00020093
                     11,                0.85533,                 2.6453,                 1.0452,                0.44013,                0.52542,                0.51356,                0.43514,                  0.706,                  1.826,                0.93929,             0.00019147,             0.00019147,             0.00019147
                     12,                0.85031,                  2.539,                 1.0152,                0.51431,                0.50825,                0.55194,                0.46997,                0.68892,                 1.7328,                0.92961,             0.00018202,             0.00018202,             0.00018202
                     13,                0.82999,                 2.4458,                 1.0163,                0.57437,                0.51944,                0.57954,                0.49335,                0.67425,                 1.6876,                0.91844,             0.00017257,             0.00017257,             0.00017257
                     14,                0.81669,                 2.4164,                 1.0079,                0.61394,                0.57196,                0.61769,                0.53074,                0.66933,                 1.5752,                0.91619,             0.00016312,             0.00016312,             0.00016312
                     15,                0.82227,                 2.3438,                 1.0111,                 0.6238,                0.55956,                0.62354,                0.53369,                0.66402,                 1.5615,                0.90645,             0.00015366,             0.00015366,             0.00015366
                     16,                0.80189,                  2.292,                 1.0027,                0.67459,                0.59514,                0.67688,                 0.5797,                0.65292,                 1.4352,                0.90837,             0.00014421,             0.00014421,             0.00014421
                     17,                0.80123,                 2.1727,                0.99178,                 0.6749,                0.63956,                0.68442,                0.59109,                0.64816,                 1.3903,                0.90354,             0.00013476,             0.00013476,             0.00013476
                     18,                 0.8091,                 2.1355,                 1.0067,                 0.7308,                0.66244,                0.71433,                0.61565,                0.64348,                 1.3283,                0.90534,             0.00012531,             0.00012531,             0.00012531
                     19,                0.79603,                 2.0832,                 1.0011,                0.74521,                0.67635,                 0.7321,                0.63441,                0.63726,                 1.2723,                0.90048,             0.00011585,             0.00011585,             0.00011585
                     20,                0.79019,                 2.0478,                 1.0036,                0.79611,                0.66039,                0.75039,                0.65322,                0.62981,                 1.2304,                0.89017,              0.0001064,              0.0001064,              0.0001064
                     21,                0.65928,                 1.9067,                0.90385,                0.79374,                0.67908,                0.75914,                0.65807,                 0.6258,                 1.2467,                0.88123,             9.6948e-05,             9.6948e-05,             9.6948e-05
                     22,                0.64957,                  1.841,                0.92058,                0.80722,                0.70314,                0.77428,                0.67375,                0.61835,                  1.141,                0.88633,             8.7496e-05,             8.7496e-05,             8.7496e-05
                     23,                0.63668,                 1.7575,                0.90212,                0.81712,                0.72162,                0.79738,                0.69449,                0.61539,                 1.0875,                 0.8784,             7.8043e-05,             7.8043e-05,             7.8043e-05
                     24,                0.62977,                 1.7014,                0.90985,                0.83936,                0.72782,                0.80967,                0.70448,                 0.6127,                 1.0522,                0.87816,             6.8591e-05,             6.8591e-05,             6.8591e-05
