                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.929,                 4.3606,                  1.146,                      0,                      0,                      0,                      0,                0.67986,                  4.073,                0.94283,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                0.85441,                 3.9109,                 1.0976,                0.02204,                0.62808,                0.04978,                0.04303,                0.71683,                 3.4838,                0.96483,             0.00018174,             0.00018174,             0.00018174
                      3,                0.88803,                 3.6067,                 1.1194,                0.41136,                0.08841,                 0.0849,                0.07095,                0.74311,                 3.1256,                 1.0019,             0.00026458,             0.00026458,             0.00026458
                      4,                0.92481,                 3.3622,                 1.1591,                0.25858,                0.15991,                 0.1198,                0.09984,                0.72199,                 2.7452,                 1.0082,             0.00025769,             0.00025769,             0.00025769
                      5,                0.90306,                 3.2134,                  1.148,                0.33524,                 0.2211,                 0.1889,                0.16036,                0.71764,                 2.5034,                 1.0108,             0.00024825,             0.00024825,             0.00024825
                      6,                0.90054,                  3.115,                 1.1385,                0.31074,                0.29752,                0.23529,                0.19839,                0.70677,                 2.3447,                 1.0175,             0.00023881,             0.00023881,             0.00023881
                      7,                0.84363,                 2.9195,                 1.1036,                0.40253,                0.33747,                0.31208,                0.26422,                0.68918,                 2.1805,                 0.9944,             0.00022937,             0.00022937,             0.00022937
                      8,                0.86557,                 2.7632,                 1.1262,                0.43414,                0.37876,                0.36405,                 0.3063,                0.68129,                 2.0327,                0.99344,             0.00021993,             0.00021993,             0.00021993
                      9,                0.83813,                 2.6814,                 1.0917,                0.50884,                0.34962,                0.39759,                0.33652,                0.67038,                 1.9416,                0.98547,              0.0002105,              0.0002105,              0.0002105
                     10,                0.85406,                 2.5465,                 1.1166,                  0.495,                0.44096,                 0.4521,                0.38395,                0.66164,                 1.8529,                0.98612,             0.00020106,             0.00020106,             0.00020106
                     11,                0.85412,                 2.5072,                 1.1105,                0.54696,                0.47763,                0.49711,                0.42537,                0.66016,                 1.7447,                0.98338,             0.00019162,             0.00019162,             0.00019162
                     12,                0.82096,                 2.3736,                 1.0869,                0.56847,                0.46975,                0.51767,                0.44011,                 0.6598,                 1.7425,                0.97386,             0.00018218,             0.00018218,             0.00018218
                     13,                0.80866,                 2.3184,                 1.0745,                0.69643,                0.48902,                0.56836,                 0.4875,                0.64455,                 1.5965,                0.96862,             0.00017274,             0.00017274,             0.00017274
                     14,                0.81335,                 2.2924,                 1.1004,                0.61333,                0.55903,                0.60158,                 0.5102,                0.65277,                 1.4813,                0.97286,             0.00016331,             0.00016331,             0.00016331
                     15,                0.79422,                 2.1902,                  1.069,                0.60094,                0.60793,                  0.631,                0.54129,                0.63008,                 1.4075,                 0.9618,             0.00015387,             0.00015387,             0.00015387
                     16,                0.77914,                 2.1189,                 1.0877,                 0.6912,                0.59982,                0.67022,                0.57754,                0.62605,                 1.3274,                0.96344,             0.00014443,             0.00014443,             0.00014443
                     17,                 0.7943,                 2.1036,                 1.0747,                0.72253,                0.61258,                0.68096,                0.58669,                0.62351,                 1.3207,                0.95789,             0.00013499,             0.00013499,             0.00013499
                     18,                0.79492,                 2.0466,                 1.0707,                0.70597,                0.65102,                0.70679,                0.60777,                0.62035,                 1.2566,                0.95851,             0.00012555,             0.00012555,             0.00012555
                     19,                0.77865,                 1.9729,                 1.0621,                0.78657,                0.65646,                0.73894,                0.63738,                0.61107,                 1.1836,                0.95362,             0.00011612,             0.00011612,             0.00011612
                     20,                0.76804,                 1.9041,                 1.0663,                0.76657,                0.67335,                0.74538,                0.64481,                0.61264,                 1.1531,                0.95005,             0.00010668,             0.00010668,             0.00010668
                     21,                0.64677,                 1.8417,                0.97369,                0.74678,                0.66236,                0.73929,                0.63446,                0.62067,                 1.2049,                 0.9401,              9.724e-05,              9.724e-05,              9.724e-05
                     22,                0.62342,                 1.7663,                0.97438,                0.77148,                0.68814,                0.75988,                0.65937,                0.60194,                 1.1247,                0.94362,             8.7802e-05,             8.7802e-05,             8.7802e-05
                     23,                0.60887,                 1.6942,                0.95535,                0.80882,                0.69475,                0.78191,                 0.6802,                0.59081,                 1.0606,                0.93891,             7.8364e-05,             7.8364e-05,             7.8364e-05
                     24,                0.60972,                 1.6119,                0.97108,                0.80451,                 0.7441,                0.80206,                0.69724,                0.58904,                0.99309,                0.93366,             6.8926e-05,             6.8926e-05,             6.8926e-05
                     25,                0.61855,                 1.6032,                 0.9604,                 0.8047,                0.74809,                0.80928,                0.70569,                 0.5842,                0.97546,                0.93649,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     26,                0.60427,                  1.551,                0.96956,                0.78966,                0.76455,                0.82398,                0.71864,                0.57793,                0.94364,                0.93148,              5.005e-05,              5.005e-05,              5.005e-05
                     27,                0.60101,                  1.531,                0.95116,                0.85847,                0.74259,                0.83137,                0.73025,                0.57189,                0.92518,                0.92435,             4.0612e-05,             4.0612e-05,             4.0612e-05
                     28,                0.60057,                 1.5018,                 0.9518,                0.83307,                0.76852,                 0.8361,                0.73389,                0.57297,                0.90989,                0.92387,             3.1174e-05,             3.1174e-05,             3.1174e-05
                     29,                0.58862,                 1.4918,                0.94572,                0.79959,                 0.7909,                0.84141,                0.74022,                 0.5686,                0.90123,                0.92126,             2.1736e-05,             2.1736e-05,             2.1736e-05
                     30,                0.58626,                 1.4923,                0.93286,                0.80975,                0.78125,                0.84328,                 0.7432,                0.56598,                0.88741,                0.92075,             1.2298e-05,             1.2298e-05,             1.2298e-05
