                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96903,                 4.7268,                 1.0116,                      0,                      0,                      0,                      0,                 0.6956,                 4.3967,                 0.8305,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                0.87795,                 4.2179,                 0.9503,                0.02035,                0.62264,                0.05337,                0.04589,                0.74494,                 3.7531,                 0.8578,             0.00018732,             0.00018732,             0.00018732
                      3,                0.92497,                 3.8768,                0.99347,                0.32214,                0.13842,                0.09924,                0.08347,                0.75282,                 3.2229,                0.87611,              0.0002814,              0.0002814,              0.0002814
                      4,                0.95351,                  3.602,                0.99825,                0.15699,                 0.2491,                0.13316,                 0.1114,                0.75315,                 2.8694,                0.88345,             0.00028316,             0.00028316,             0.00028316
                      5,                0.91397,                 3.4373,                0.99143,                0.23201,                0.28293,                 0.2038,                0.17244,                  0.741,                 2.6105,                0.88037,             0.00028222,             0.00028222,             0.00028222
                      6,                0.89282,                 3.2257,                0.98866,                0.37418,                0.29466,                0.26904,                0.22654,                0.73574,                 2.4284,                0.89024,             0.00028127,             0.00028127,             0.00028127
                      7,                0.90295,                 3.1449,                0.99204,                0.36114,                0.32302,                0.29764,                0.24659,                 0.7124,                  2.386,                0.86755,             0.00028033,             0.00028033,             0.00028033
                      8,                0.86666,                  2.888,                0.97207,                0.49798,                0.37487,                0.37881,                0.31833,                0.71927,                 2.3266,                0.87689,             0.00027938,             0.00027938,             0.00027938
                      9,                0.86602,                  2.882,                0.97311,                0.46822,                0.42804,                0.42601,                0.35562,                0.71555,                 2.1809,                0.86956,             0.00027844,             0.00027844,             0.00027844
                     10,                0.87419,                 2.7708,                0.98515,                 0.4998,                0.42392,                0.46491,                0.39036,                 0.6995,                 1.9744,                0.87095,             0.00027749,             0.00027749,             0.00027749
                     11,                0.87422,                 2.6031,                0.96593,                0.58792,                0.49042,                0.51176,                0.43622,                0.68904,                 1.9616,                0.86197,             0.00027655,             0.00027655,             0.00027655
                     12,                0.84142,                 2.5203,                0.95056,                0.58797,                0.52902,                0.56897,                0.48161,                0.68844,                 1.7462,                0.86766,              0.0002756,              0.0002756,              0.0002756
                     13,                0.82832,                 2.3602,                0.94595,                0.69713,                0.54062,                0.62655,                0.52706,                0.68741,                 1.6517,                0.86633,             0.00027465,             0.00027465,             0.00027465
                     14,                0.85626,                 2.3208,                0.95376,                0.60725,                0.63324,                0.66464,                 0.5595,                 0.6799,                 1.5055,                0.85951,             0.00027371,             0.00027371,             0.00027371
