                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.029,                 4.6002,                 1.9759,                      0,                      0,                      0,                      0,                 1.2337,                 4.3901,                 1.3396,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                 1.4892,                 4.2598,                 1.5831,                0.01957,                0.39055,                0.02048,                0.00705,                 1.6459,                 4.2285,                 1.8173,              0.0001875,              0.0001875,              0.0001875
                      3,                 1.3698,                 3.9281,                 1.4883,                 0.0152,                0.73957,                0.02816,                0.01095,                 1.6871,                 3.5725,                 1.6872,             0.00028193,             0.00028193,             0.00028193
                      4,                 1.3786,                  3.733,                 1.5267,                0.15195,                0.21452,                0.03151,                0.01295,                 1.7389,                 3.3013,                 1.6488,             0.00028396,             0.00028396,             0.00028396
                      5,                 1.3908,                 3.5936,                 1.5559,                0.23581,                0.14524,                0.05133,                0.02405,                 1.6744,                 3.0964,                 1.6793,             0.00028328,             0.00028328,             0.00028328
                      6,                 1.3607,                 3.5217,                 1.5205,                0.24575,                0.12829,                0.05579,                0.02658,                 1.6494,                 3.0188,                  1.648,              0.0002826,              0.0002826,              0.0002826
                      7,                 1.3354,                 3.4379,                 1.4811,                0.21682,                 0.1421,                0.07244,                0.03652,                 1.5583,                 2.9199,                 1.5496,             0.00028192,             0.00028192,             0.00028192
                      8,                 1.3341,                 3.3731,                  1.484,                0.18656,                0.12703,                0.06998,                0.04149,                 1.3227,                 2.9475,                 1.3657,             0.00028125,             0.00028125,             0.00028125
                      9,                 1.2892,                 3.2943,                  1.431,                0.20091,                0.15167,                 0.0976,                0.04903,                 1.6688,                  2.818,                 1.6087,             0.00028057,             0.00028057,             0.00028057
                     10,                 1.2849,                 3.2441,                 1.4653,                0.23714,                0.19776,                0.11388,                0.06302,                 1.4322,                  2.699,                 1.4452,             0.00027989,             0.00027989,             0.00027989
                     11,                 1.2558,                 3.2085,                 1.4265,                0.18654,                0.18379,                0.13553,                0.07233,                 1.5574,                 2.6479,                 1.5238,             0.00027921,             0.00027921,             0.00027921
                     12,                 1.2257,                 3.1271,                 1.4108,                0.19225,                0.20144,                0.13881,                0.06674,                 1.6947,                 2.7044,                  1.619,             0.00027853,             0.00027853,             0.00027853
                     13,                 1.2312,                 3.0988,                 1.4037,                0.16985,                0.27107,                0.15571,                0.08878,                 1.5309,                 2.6004,                 1.5016,             0.00027785,             0.00027785,             0.00027785
                     14,                 1.2199,                 3.1181,                 1.4086,                0.19798,                0.26138,                 0.1757,                0.12024,                 1.1724,                 2.4162,                 1.2391,             0.00027717,             0.00027717,             0.00027717
                     15,                 1.1869,                 3.0373,                 1.3781,                0.22251,                0.27988,                0.19429,                0.11703,                 1.4081,                   2.48,                 1.3797,             0.00027649,             0.00027649,             0.00027649
                     16,                  1.177,                  3.012,                 1.3837,                0.24613,                  0.291,                0.21364,                0.11862,                 1.5422,                 2.4174,                 1.4964,             0.00027581,             0.00027581,             0.00027581
                     17,                 1.2224,                 2.9563,                 1.3946,                0.32674,                0.23398,                0.20315,                0.13771,                 1.0593,                 2.4217,                 1.1927,             0.00027513,             0.00027513,             0.00027513
